CREATE TABLE Transaction (
  `transaction_id` INTEGER,
  `customer_id` INTEGER,
  `amount` VARCHAR(4)
);

INSERT INTO Transaction
  (`transaction_id`, `customer_id`, `amount`)
VALUES
  ('1', '26', 'not'),
  ('2', '23', '1412'),
  ('3', '29', 'not'),
  ('4', '22', 'not'),
  ('5', '21', '852'),
  ('6', '5', '78'),
  ('7', '38', '45'),
  ('8', '36', 'not'),
  ('9', '40', '567'),
  ('10', '46', 'not'),
  ('11', '44', '1234'),
  ('12', '40', '845'),
  ('13', '25', '57'),
  ('14', '8', '98'),
  ('15', '10', '85'),
  ('16', '8', '23'),
  ('17', '40', '723'),
  ('18', '34', '695'),
  ('19', '8', '40'),
  ('20', '12', '1378'),
  ('21', '33', '921'),
  ('22', '13', 'not'),
  ('23', '40', '237'),
  ('24', '30', 'not'),
  ('25', '3', '19'),
  ('26', '49', '1423'),
  ('27', '25', '37'),
  ('28', '18', '1367'),
  ('29', '5', '54'),
  ('30', '47', '567'),
  ('31', '5', '98'),
  ('32', '29', 'not'),
  ('33', '2', 'not'),
  ('34', '1', '48'),
  ('35', '12', '1676'),
  ('36', '34', '693'),
  ('37', '42', '52'),
  ('38', '50', '70'),
  ('39', '24', 'not'),
  ('40', '11', '281'),
  ('41', '36', 'not'),
  ('42', '15', 'not'),
  ('43', '10', '68'),
  ('44', '27', '1462'),
  ('45', '19', 'not'),
  ('46', '23', '1267'),
  ('47', '36', 'not'),
  ('48', '19', 'not');
